稼働年月日,容量,基盤,ジャンル,メーカー,タイトル,開発元,ジョブカテゴリ,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
2010-03-01,,-,,SEGA,"セガネットワーク対戦麻雀MJ4 EVOLUTION",,0,0,,,,,,,,
2010-04-01,,-,,SEGA,いっしょにブンブン,,0,0,,,,,,,,
2010-04-01,,-,,SEGA,"ムシキングバトル 合虫ガッツ!!",,0,0,,,,,,,,
2010-06-01,,RINGEDGE,,SEGA,"初音ミク Project DIVA Arcade",,0,0,,,,,,,,
2010-06-01,,-,,SEGA,"三国志大戦3 WAR BEGINS",,0,0,,[初代]:大原徹|松永純|[2代]:山内伸也|新美雄太|大岩尚生,,,[初代]:水津奈々絵|澤田朋伯|塚越晋|金谷裕一|[2代]:塚越晋|Hiro|相馬琳太郎,,"[初代]:西山泰弘|[2代]:根本健太郎|渡辺剣人[注釈 1]|西山泰弘[注釈 2][注釈 3]",
2010-07-01,,-,FTG,SEGA,"バーチャファイター5 ファイナルショーダウン",,0,0,,,,,,,,
2010-07-01,,-,,SEGA,爆丸アーケードバトラーズ,,0,0,,,,長森佳容|宮脇謙史,根岸貴幸,井上光晴,,
2010-07-01,,"LINDBERGH RED",,SEGA,"ネットワーク対戦クイズ Answer×Answer Live!",,0,0,,,,,,,,
2010-07-01,,-,,SEGA,"トランスフォーマー アニメイテッド ザ・シューティング",,0,0,,,,,,,,
2010-07-01,,-,,SEGA,"そうぞうキッズ レッツゴーバス",,0,0,,,,,,,,
2010-07-01,,-,,SEGA,"トランスフォーマー アニメイテッド ザ・チェイス",,0,0,,,,,,,,
2010-10-01,,-,,SEGA,"ボーダーブレイク エアバースト",,0,0,,,,,,,,
2010-10-01,,-,FTG,SEGA,"バーチャファイター5 ファイナルショーダウン REVISION 1",,0,0,,,,,,,,
2010-11-01,,RINGEDGE,,SEGA,"シャイニング・フォース クロスレイド",,0,0,,,,,,,,
2010-11-01,,RINGEDGE,,SEGA,"戦国大戦 -1560 尾張の風雲児-",,0,0,,,,,,,,
2010-12-01,,-,,SEGA,"WORLD CLUB Champion Football Intercontinental Clubs 2009-2010",,0,0,,,,,,,,
2011-01-01,,-,,SEGA,"初音ミク Project DIVA Arcade Version A",,0,0,,,,,,,,
2011-02-01,,RINGEDGE,,SEGA,"頭文字D ARCADE STAGE 6 AA",,0,0,,,,,,,,
2011-04-01,,-,FTG,SEGA,"バーチャファイター5 ファイナルショーダウン VERSION A",,0,0,,,,,,,,
2011-07-01,,RINGEDGE,,SEGA,"Let’s GO ISLAND 3D",,0,0,,,,,福岡ユタカ,,,
2011-07-01,,-,,SEGA,"戦国大戦 -1570 魔王 上洛す-",,0,0,,松永純(Ver1.0)|大原徹|松永純(Ver1.2)|寺田康太(Ver3.2),,,花田啓太朗|塚越晋|穴山大輔|光吉猛修|磯崎剛,,西山泰弘,
2011-08-01,,-,,SEGA,"ネットワーク対戦クイズ Answer×Answer Live! ダブルアンサー",,0,0,,,,,,,,
2011-08-01,,RINGEDGE,,SEGA,セガネットワーク対戦麻雀MJ5,,0,0,,,,,,,,
2011-10-01,,-,,SEGA,トイレッツ,,0,0,,,,,,,,
2011-11-01,,-,,SEGA,"WORLD CLUB Champion Football Intercontinental Clubs 2010-2011",,0,0,,,,,,,,
2012-01-01,,-,,SEGA,"UNDER NIGHT IN-BIRTH",フランスパン、エコールソフトウェア,0,0,,,,,来兎,,,
2012-01-01,,-,,SEGA,"GUILTY GEAR XX Λ CORE PLUS R",アークシステムワークス,0,0,,,,,,,,
2012-01-01,,-,,SEGA,"ゲーセンラブ。 〜プラス ペンゴ!〜",トライアングル・サービス,0,0,,,,,,,,
2012-02-01,,-,,SEGA,"戦国大戦 -15XX 五畿七道の雄-",,0,0,,松永純(Ver1.0)|大原徹|松永純(Ver1.2)|寺田康太(Ver3.2),,,花田啓太朗|塚越晋|穴山大輔|光吉猛修|磯崎剛,,西山泰弘,
2012-03-01,,-,,SEGA,"シャイニング・フォース クロスエリュシオン",,0,0,,,,,,,,
2012-04-01,,RINGEWIDE,,SEGA,"OPERATION G.H.O.S.T.",アークシステムワークス,0,0,,,,,,,,
2012-06-01,,-,,SEGA,"SEGA CARD-GEN MLB 2012",,0,0,,,,,,,,
2012-07-01,,-,,SEGA,"そうぞうキッズ レッツゴーサファリ",,0,0,,,,,,,,
2012-07-01,,-,,SEGA,"初音ミク Project DIVA Arcade Version B",,0,0,,,,,,,,
2012-07-01,,RINGEDGE2,,SEGA,maimai,,0,0,,,,,,,,
2012-10-01,,-,,SEGA,"戦国大戦 -1582 日輪、本能寺より出ずる-",,0,0,,松永純(Ver1.0)|大原徹|松永純(Ver1.2)|寺田康太(Ver3.2),,,花田啓太朗|塚越晋|穴山大輔|光吉猛修|磯崎剛,,西山泰弘,
2012-10-01,,-,,SEGA,"ボーダーブレイク ユニオン",,0,0,,,,,,,,
2012-11-01,,RINGEDGE,,SEGA,"頭文字D ARCADE STAGE 7 AA X",,0,0,,,,,,,,
2012-11-01,,-,,SEGA,"WORLD CLUB Champion Football Intercontinental Clubs 2011-2012",,0,0,,,,,,,,
2012-12-01,,-,,SEGA,maimaiPLUS,,0,0,,,,,,,,
2013-01-01,,-,,SEGA,アンダーディフィートHD+,グレフ,0,0,,,,,"細江慎治|安井洋介(PS3| Xbox 360)",,,
2013-01-01,,-,,SEGA,"UNDER NIGHT IN-BIRTH Exe:Late",フランスパン、エコールソフトウェア,0,0,,,,,来兎,,,
2013-01-01,,-,,SEGA,カラドリウスAC,MOSS,0,0,,,,,,,,
2013-01-01,,-,,SEGA,"DEAD OR ALIVE 5 Ultimate: Arcade",コーエーテクモゲームス,0,0,,新堀洋平|片桐大智(セガ)|羽田隆之(セガ),,井内毅|他11名(ゲームデザイン)|佐竹雄紀(グラフィック)|岡本尚也(アニメーション)|金子浩久(キャラクター)|四方春彦(コスチューム)|藤田春介(背景)|渡辺貴光(エフェクト),細井誠,齋藤豊(兼アートディレクター),早矢仕洋介|柴田剛平(プロジェクトマネージャー),
2013-01-01,,-,,SEGA,"PHANTOM BREAKER ANOTHER CODE",デルタファクトリー,0,0,,,,鈴平ひろ(キャラクターデザイン),,,,
2013-01-01,,-,,SEGA,"セガネットワーク対戦麻雀MJ5 EVOLUTION",,0,0,,,,,,,,
2013-05-01,,-,,SEGA,"SEGA CARD-GEN MLB 2013",,0,0,,,,,,,,
2013-06-01,,-,,SEGA,"シャイニング・フォース クロスエクレシア",,0,0,,,,,,,,
2013-06-01,,-,,SEGA,"戦国大戦 -1590 葵 関八州に起つ-",,0,0,,松永純(Ver1.0)|大原徹|松永純(Ver1.2)|寺田康太(Ver3.2),,,花田啓太朗|塚越晋|穴山大輔|光吉猛修|磯崎剛,,西山泰弘,
2013-07-01,,RINGEDGE2,,SEGA,"CODE OF JOKER",,0,0,,,,,,,,
2013-07-01,,RINGEDGE2,,SEGA,"maimai GreeN",,0,0,,,,,,,,
2013-11-01,,RINGEDGE,,SEGA,"ぷよぷよ!!クエスト アーケード",,0,0,,,,,,,渡邉正勝,
2013-11-01,,-,,SEGA,ずかんのたまご,,0,0,,,,neco(原案)|桂憲一郎|形部一平(コフィンデザイン)|たけはらみのる|形部一平,中山真斗,MAGUS,,
2013-11-01,,Nu,,SEGA,"初音ミク Project DIVA Arcade Future Tone",,0,0,,,,,,,,
2013-12-01,,-,,SEGA,"WORLD CLUB Champion Football 2012-2013",,0,0,,,,,,,,
2013-12-01,,-,,SEGA,"CODE OF JOKER Ver.1.1 -アルカナの覚醒-",,0,0,,,,,,,,
2014-01-01,,-,,SEGA,"GUILTY GEAR Xrd -SIGN-",アークシステムワークス,0,0,,石渡太輔(総監督),,,,,,
2014-01-01,,-,,SEGA,恋姫†演武,"BaseSon、UNKNOWN GAMES",0,0,,,,,,,,
2014-01-01,,-,,SEGA,"ブレードアークス from シャイニング",スタジオ最前線,0,0,,,,,,,,
2014-01-01,,-,,SEGA,"MELTY BLOOD Actress Again Current Code APM",エコールソフトウェア,0,0,,,,武内崇,来兎,"奈須きのこ |acpi",,
2014-02-01,,-,,SEGA,"THE WORLD of THREE KINGDOMS",,0,0,,,,,,,,
2014-02-01,,-,,SEGA,"戦国大戦 -1477 破府、六十六州の欠片へ-",,0,0,,松永純(Ver1.0)|大原徹|松永純(Ver1.2)|寺田康太(Ver3.2),,,花田啓太朗|塚越晋|穴山大輔|光吉猛修|磯崎剛,,西山泰弘,
2014-02-01,,-,,SEGA,"maimai GreeN PLUS",,0,0,,,,,,,,
2014-03-01,,-,,SEGA,"電撃文庫 FIGHTING CLIMAX",フランスパン、エコールソフトウェア,0,0,,寺田貴治,,,,,野中竜太郎|亙重郎,
2014-04-01,,-,,SEGA,"ボーダーブレイク スクランブル",,0,0,,,,,,,,
2014-04-01,,-,,SEGA,"CODE OF JOKER Ver.1.2 Re:BIRTH",,0,0,,,,,,,,
2014-06-01,,-,,SEGA,"ヒーローバンク アーケード",,0,0,,,,米澤優,立山秋航,セガ,,
2014-06-01,,-,,SEGA,"遊育右脳教室 うのチャレ",,0,0,,,,,,,,
2014-07-01,,-,,SEGA,"劇場版 魔法少女まどか☆マギカ MAGICARD BATTLE",,0,0,,,,蒼樹うめ(原案)|岸田隆宏|谷口淳一郎|蒼樹うめ(原案)|岸田隆宏|谷口淳一郎|蒼樹うめ(原案)|谷口淳一郎,梶浦由記,虚淵玄,,
2014-07-01,,-,,SEGA,"初音ミク Project DIVA Arcade Future Tone Version A",,0,0,,,,,,,,
2014-07-01,,-,,SEGA,"セガネットワーク対戦麻雀MJ5 R EVOLUTION",,0,0,,,,,,,,
2014-07-01,,RINGEDGE,,SEGA,"頭文字D ARCADE STAGE 8 インフィニティ",,0,0,,,,,,,,
2014-08-01,,-,,SEGA,"シャイニング・フォース クロスエクレシア ゼニス",,0,0,,,,,,,,
2014-09-01,,-,,SEGA,"戦国大戦 -1600 関ヶ原 序の布石、葵打つ-",,0,0,,,,,,,,
2014-09-01,,RINGEDGE2,,SEGA,"maimai ORANGE",,0,0,,,,,,,,
2014-11-01,,-,,SEGA,"けいおん!! 放課後リズムセレクション",,0,0,,,,,,,,
2014-11-01,,-,,SEGA,"え〜でる すなば",,0,0,,,,,,,,
2014-11-01,,-,,SEGA,"WORLD CLUB Champion Football 2013-2014",,0,0,,,,,,,,
2014-11-01,,-,,SEGA,"CODE OF JOKER Ver.1.3 begiNNing",,0,0,,,,,,,,
2014-12-01,,"Nu SX",,SEGA,"占いコレクション トロッテ",,0,0,,,,,,,,
2015-01-01,,-,,SEGA,"UNDER NIGHT IN-BIRTH Exe:Late［st］",フランスパン、アークシステムワークス,0,0,,,,,来兎,,,
2015-01-01,,-,,SEGA,"GUILTY GEAR Xrd -REVELATOR-",アークシステムワークス,0,0,,石渡太輔(総監督),,,,,,
2015-01-01,,-,,SEGA,"電撃文庫 FIGHTING CLIMAX IGNITION",フランスパン、エコールソフトウェア,0,0,,寺田貴治,,,,,野中竜太郎|亙重郎,
2015-02-01,,Nu,,SEGA,"Wonderland Wars",,0,0,,,,,,,,
2015-03-01,,-,FTG,SEGA,"バーチャファイター5 ファイナルショーダウン VERSION B",,0,0,,,,,,,,
2015-03-01,,-,,SEGA,"maimai ORANGE PLUS",,0,0,,,,,,,,
2015-06-01,,-,,SEGA,"戦国大戦 -1615 大坂燃ゆ、世は夢の如く-",,0,0,,松永純(Ver1.0)|大原徹|松永純(Ver1.2)|寺田康太(Ver3.2),,,花田啓太朗|塚越晋|穴山大輔|光吉猛修|磯崎剛,,西山泰弘,
2015-07-01,,Nu,,SEGA,チュウニズム,,0,0,,,,,,,,
2015-07-01,,-,,SEGA,"え〜でる すなば プラス",,0,0,,,,,,,,
2015-07-01,,-,,SEGA,新甲虫王者ムシキング,,0,0,,,,,,,,
2015-07-01,,-,,SEGA,"CODE OF JOKER Ver.1.4 GroW=Win",,0,0,,,,,,,,
2015-11-01,,-,,SEGA,"ボーダーブレイク スクランブル 武",,0,0,,,,,,,,
2015-12-01,,-,,SEGA,"maimai PiNK",,0,0,,,,,,,,
2016-01-01,,-,,SEGA,"恋姫†演武 遼来来","BaseSon、UNKNOWN GAMES",0,0,,,,,,,,
2016-01-01,,-,,SEGA,"戦国大戦 1477-1615 日ノ本 一統への軍記",,0,0,,松永純(Ver1.0)|大原徹|松永純(Ver1.2)|寺田康太(Ver3.2),,,花田啓太朗|塚越晋|穴山大輔|光吉猛修|磯崎剛,,西山泰弘,
2016-01-01,,-,,SEGA,"WORLD CLUB Champion Football 2015-2016",,0,0,,,,,,,,
2016-02-01,,-,,SEGA,"初音ミク Project DIVA Arcade Future Tone Version B",,0,0,,,,,,,,
2016-02-01,,-,,SEGA,"チュウニズム プラス",,0,0,,,,,,,,
2016-02-01,,-,,SEGA,"マリオ&ソニック AT リオオリンピック アーケードゲーム",,0,0,,,,,,,,
2016-04-01,,-,,SEGA,艦これアーケード,,0,0,,田中謙介,,"しばふ|しずまよしのり|コニシ ほか",,,田中謙介,
2016-05-01,,-,,SEGA,"CODE OF JOKER S",,0,0,,,,,,,,
2016-06-01,,-,,SEGA,"ボーダーブレイク エックス",,0,0,,,,,,,,
2016-06-01,,-,,SEGA,"maimai PiNK PLUS",,0,0,,,,,,,,
2016-07-01,,-,,SEGA,らくがきカードバトル撃墜王,ココノヱ,0,0,,,,,,,,
2016-08-01,,-,,SEGA,"チュウニズム エアー",,0,0,,,,,,,,
2016-12-01,,Nu,,SEGA,"Wonderland Wars 運命の時刻盤",,0,0,,,,,,,,
2016-12-01,,-,,SEGA,三国志大戦（2代目）,,0,0,,,,,,,,
2016-12-01,,-,,SEGA,"maimai MURASAKi",,0,0,,,,,,,,
2017-01-01,,-,,SEGA,"GUILTY GEAR Xrd REV2",アークシステムワークス,0,0,,石渡太輔(総監督),,,,,,
2017-01-01,,-,,SEGA,"WORLD CLUB Champion Football 2016-2017",,0,0,,,,,,,,
2017-02-01,,-,,SEGA,"ピンポン ザウルスハンター",広州市雄翔動漫科技有限公司,0,0,,,,,,,,
2017-02-01,,-,,SEGA,"チュウニズム エアー プラス",,0,0,,,,,,,,
2017-02-01,,-,,SEGA,"ボーダーブレイク エックス ゼロ",,0,0,,,,,,,,
2017-03-01,,Nu2,,SEGA,"頭文字D ARCADE STAGE Zero",,0,0,,,,,,,,
2017-04-01,,-,,SEGA,"CODE OF JOKER EDGE",,0,0,,,,,,,,
2017-04-01,,-,,SEGA,"セガNET麻雀 MJ Arcade",,0,0,,,,,,,,
2017-06-01,,-,,SEGA,"maimai MURASAKi PLUS",,0,0,,,,,,,,
2017-08-01,,-,,SEGA,"チュウニズム スター",,0,0,,,,,,,,
2017-08-01,,-,,SEGA,"CODE OF JOKER ECHOES",,0,0,,,,,,,,
2017-09-01,,-,,SEGA,"ボーダーブレイク エックス ゼロ プラス",,0,0,,,,,,,,
2017-10-01,,-,,SEGA,"三国志大戦 天槍の共鳴",,0,0,,[初代]:大原徹|松永純|[2代]:山内伸也|新美雄太|大岩尚生,,,[初代]:水津奈々絵|澤田朋伯|塚越晋|金谷裕一|[2代]:塚越晋|Hiro|相馬琳太郎,,"[初代]:西山泰弘|[2代]:根本健太郎|渡辺剣人[注釈 1]|西山泰弘[注釈 2][注釈 3]",
2017-12-01,,Nu,,SEGA,"Wonderland Wars 醒し創聖の闘歌劇",,0,0,,,,,,,,
2017-12-01,,-,,SEGA,"CODE OF JOKER THE AGENTS",,0,0,,,,,,,,
2017-12-01,,-,,SEGA,"maimai MiLK",,0,0,,,,,,,,
2018-01-01,,-,,SEGA,"Blade Strangers",スタジオ最前線,0,0,,近藤敏信,,"西村キヌ|近藤敏信|湊亜美加(Minat's)|Etsuko|ヲサ田サム|Edmund Mcmillen",Ridiculon,,,
2018-01-01,,-,,SEGA,"WORLD CLUB Champion Football 2017-2018",,0,0,,,,,,,,
2018-02-01,,-,,SEGA,"SOUL REVERSE",,0,0,,,,,,,,
2018-03-01,,-,,SEGA,"チュウニズム スター プラス",,0,0,,,,,,,,
2018-03-01,,-,,SEGA,"SEGA World Drivers Championship",,0,0,,,,,,,,
2018-06-01,,-,,SEGA,"maimai MiLK PLUS",,0,0,,,,,,,,
2018-07-01,,-,,SEGA,"Fate/Grand Order Arcade",,0,0,,伊神公博,,"武内崇 ほか",,,吉野慎一,
2018-07-01,,-,,SEGA,オンゲキ,,0,0,,,,,,,,
2018-08-01,,-,,SEGA,"ソウルリバース 赤き盟約",,0,0,,,,,,,,
2018-08-01,,-,,SEGA,"三国志大戦 狼主の双剣",,0,0,,[初代]:大原徹|松永純|[2代]:山内伸也|新美雄太|大岩尚生,,,[初代]:水津奈々絵|澤田朋伯|塚越晋|金谷裕一|[2代]:塚越晋|Hiro|相馬琳太郎,,"[初代]:西山泰弘|[2代]:根本健太郎|渡辺剣人[注釈 1]|西山泰弘[注釈 2][注釈 3]",
2018-09-01,,-,,SEGA,"ハウス・オブ・ザ・デッド 〜スカーレット・ドーン〜",,0,0,,,,,,,,
2018-10-01,,-,,SEGA,"チュウニズム アマゾン",,0,0,,,,,,,,
2018-12-01,,Nu,,SEGA,"Wonderland Wars 七つ色の冒険譚",,0,0,,,,,,,,
2018-12-01,,-,,SEGA,"SEGA World Drivers Championship 2019",,0,0,,,,,,,,
2018-12-01,,-,,SEGA,"maimai FiNALE",,0,0,,,,,,,,
2019-02-01,,-,,SEGA,クロノレガリア,,0,0,,,,,,,,
2019-02-01,,-,,SEGA,"オンゲキ PLUS",,0,0,,,,,,,,
2019-03-01,,-,,SEGA,"WCCF FOOTISTA 2019",,0,0,,,,,,,,
2019-04-01,,-,,SEGA,"頭文字D ARCADE STAGE Zero Ver.2.0",,0,0,,,,"古瀬登(1st Stage)|佐藤正樹(2nd・5th・Final Stage)|加野晃(4th Stage)|横井秀章|佐藤正樹|佐藤和巳|羽田浩二",土橋安騎夫,関島眞頼,,
2019-04-01,,-,,SEGA,"チュウニズム アマゾン プラス",,0,0,,,,,,,,
2019-04-01,,-,,SEGA,"三国志大戦 伝承の煌弓",,0,0,,[初代]:大原徹|松永純|[2代]:山内伸也|新美雄太|大岩尚生,,,[初代]:水津奈々絵|澤田朋伯|塚越晋|金谷裕一|[2代]:塚越晋|Hiro|相馬琳太郎,,"[初代]:西山泰弘|[2代]:根本健太郎|渡辺剣人[注釈 1]|西山泰弘[注釈 2][注釈 3]",
2019-04-01,,"ALLS UX",PZL落ち物,SEGA,"ぷよぷよeスポーツ アーケード",,0,0,,,,,,,,
2019-04-01,,-,,SEGA,"BLAZBLUE CROSS TAG BATTLE",アークシステムワークス,0,0,,,,,,,,
2019-07-01,,-,,SEGA,"maimai でらっくす",,0,0,,,,,,,,
2019-07-01,,-,,SEGA,クロノレガリアEX,,0,0,,,,,,,,
2019-07-01,,-,,SEGA,"デッド オア アライブ6",コーエーテクモゲームス,0,0,,新堀洋平,,,,,新堀洋平,
2019-08-01,,-,,SEGA,"オンゲキ SUMMER",,0,0,,,,,,,,
2019-08-01,,-,,SEGA,タッピングスキルテスト,トライアングル・サービス,0,0,,,,,,,,
2019-09-01,,-,,SEGA,"けものフレンズ3 プラネットツアーズ",,0,0,,,,デジタル・メディア・ラボほか,立山秋航,,,
2019-10-01,,-,,SEGA,"チュウニズム クリスタル",,0,0,,,,,,,,
2019-12-01,,-,,SEGA,"Wonderland Wars -禍ツ大和ノ宿曜典",,0,0,,,,,,,,
2020-01-01,,-,,SEGA,"maimai でらっくす PLUS",,0,0,,,,,,,,
2020-01-01,,-,,SEGA,"マリオ&ソニック AT 東京2020オリンピック アーケードゲーム",,0,0,,平尾直裕,高橋満,平林隆夫|川瀬真理子|金沢大志,床井健一|大谷智哉|福山光晴|岡村諭志,,大橋宣哉,
2020-01-01,,-,,SEGA,"WCCF FOOTISTA 2020",,0,0,,,,,,,,
2020-02-01,,-,,SEGA,"オンゲキ SUMMER PLUS",,0,0,,,,,,,,
2020-03-01,,-,,SEGA,"三国志大戦 暁光、星屑を照らし",,0,0,,[初代]:大原徹|松永純|[2代]:山内伸也|新美雄太|大岩尚生,,,[初代]:水津奈々絵|澤田朋伯|塚越晋|金谷裕一|[2代]:塚越晋|Hiro|相馬琳太郎,,"[初代]:西山泰弘|[2代]:根本健太郎|渡辺剣人[注釈 1]|西山泰弘[注釈 2][注釈 3]",
2020-03-01,,-,,SEGA,オトシューDX,EZDAEMON,0,0,,,,,,,,
2020-04-01,,-,,SEGA,トランスフォーマー・シャドウズライジング,,0,0,,,,,,,,
2020-07-01,,-,,SEGA,"チュウニズム クリスタル プラス",,0,0,,,,,,,,
2020-07-01,,-,,SEGA,"ペンゴ! オンライン",トライアングル・サービス,0,0,,,,,,,,
2020-07-01,,-,,SEGA,ローリングガンナー,"Project Rolling Gunner",0,0,,,,,,,,
2020-09-01,,-,,SEGA,"maimai でらっくす Splash",,0,0,,,,,,,,
2020-09-01,,-,,SEGA,"グーニャファイター APM3 Edition",MUTAN,0,0,,,,,,,,
2020-09-01,,-,,SEGA,"海腹川背 Flesh! for AC",サクセス、スタジオ最前線,0,0,,"近藤敏信|Kozi Nakazima",,近藤敏信|湊亜美加-ミネイツ,本山淳弘|立川伸治|益子崇徳,,長友慎也,
2020-10-01,,-,,SEGA,"オンゲキ R.E.D.",,0,0,,,,,,,,
2020-12-01,,-,,SEGA,"WCCF FOOTISIA 2021",,0,0,,,,,,,,
2021-01-01,,-,,SEGA,"チュウニズム パラダイス",,0,0,,,,,,,,
2021-02-01,,-,,SEGA,"三国志大戦 決戦の空 虹扇の風",,0,0,,[初代]:大原徹|松永純|[2代]:山内伸也|新美雄太|大岩尚生,,,[初代]:水津奈々絵|澤田朋伯|塚越晋|金谷裕一|[2代]:塚越晋|Hiro|相馬琳太郎,,"[初代]:西山泰弘|[2代]:根本健太郎|渡辺剣人[注釈 1]|西山泰弘[注釈 2][注釈 3]",
2021-02-01,,-,,SEGA,"頭文字D THE ARCADE",,0,0,,,,,,,,
2021-03-01,,-,,SEGA,"maimai でらっくす Splash PLUS",,0,0,,,,,,,,
2021-03-01,,-,,SEGA,"オンゲキ R.E.D. PLUS",,0,0,,,,,,,,
2021-04-01,,-,,SEGA,"UNDER NIGHT IN-BIRTH Exe:Late［cl-r］",フランスパン、アークシステムワークス,0,0,,,,,来兎,,,
2021-05-01,,-,,SEGA,"チュウニズム パラダイス ロスト",,0,0,,,,,,,,
2021-06-01,,-,FTG,SEGA,"バーチャファイター eスポーツ",,0,0,,,,,,,,
2021-07-01,,-,,SEGA,戦刃アレスタ,エムツー,0,0,,,,,,,,
2021-07-01,,-,,SEGA,"GUILTY GEAR -STRIVE-",アークシステムワークス,0,0,,石渡太輔(ゼネラル),,"永野覧|坂村英彦|石渡太輔|石渡太輔(原案)|茶之原拓也|八森優香|Joseph Shin",高橋諒,重信康,,
2021-09-01,,-,,SEGA,"maimai でらっくす UNiVERSE",,0,0,,,,,,,,
2021-09-01,,-,,SEGA,コットンロックンロール,サクセス、スタジオ最前線,0,0,,,,,,,,
2021-10-01,,-,,SEGA,"オンゲキ bright",,0,0,,,,,,,,
2021-11-01,,-,,SEGA,"チュウニズム ニュー!!",,0,0,,,,,,,,
2021-11-01,,-,,SEGA,"ノスフェラトゥ リリノア",neon,0,0,,,T.NAKAMURA|東田弘樹|あんどうよしひろ|望月哲夫,末弥純,赤堀正直,,富士本淳,
2021-11-01,,-,,SEGA,かしおり,サクセス,0,0,,,,,,,,
2022-03-01,,-,,SEGA,"オンゲキ bright MEMORY",,0,0,,,,,,,,
2022-03-01,,-,,SEGA,"英傑大戦 三千世界の波動",,0,0,,吉田幸司|大原徹(Ver1.0)|吉田幸司|石川希人|大原徹(Ver1.5),,,永田泰之|三島順平|花田啓太朗,,根本健太郎(Ver1.0)|根本健太郎|西嶋一真(Ver1.5),
2022-03-01,,-,,SEGA,"maimai でらっくす UNiVERSE PLUS",,0,0,,,,,,,,
2022-03-01,,-,,SEGA,"頭文字D THE ARCADE SEASON 2",,0,0,,,,"古瀬登(1st Stage)|佐藤正樹(2nd・5th・Final Stage)|加野晃(4th Stage)|横井秀章|佐藤正樹|佐藤和巳|羽田浩二",土橋安騎夫,関島眞頼,,
2022-04-01,,-,,SEGA,"チュウニズム ニュー プラス!!",,0,0,,,,,,,,
2022-07-01,,-,,SEGA,ミルクちゃん,スタジオ最前線,0,0,,,,,,,,
2022-09-01,,-,,SEGA,"maimai でらっくす FESTiVAL",,0,0,,,,,,,,
2022-10-01,,-,,SEGA,"チュウニズム サン",,0,0,,,,,,,,
2022-12-01,,-,,SEGA,"英傑大戦 廻天の五芒星",,0,0,,吉田幸司|大原徹(Ver1.0)|吉田幸司|石川希人|大原徹(Ver1.5),,,永田泰之|三島順平|花田啓太朗,,根本健太郎(Ver1.0)|根本健太郎|西嶋一真(Ver1.5),
2023-03-01,,-,,SEGA,"上海IV 竜門飛躍",サンソフト、サクセス,0,0,,,,,,,,
2023-03-01,,-,,SEGA,"maimai でらっくす FESTiVAL PLUS",,0,0,,,,,,,,
2023-04-01,,-,,SEGA,"頭文字D THE ARCADE SEASON 3",,0,0,,,,"古瀬登(1st Stage)|佐藤正樹(2nd・5th・Final Stage)|加野晃(4th Stage)|横井秀章|佐藤正樹|佐藤和巳|羽田浩二",土橋安騎夫,関島眞頼,,
2023-05-01,,-,,SEGA,"チュウニズム サン プラス",,0,0,,,,,,,,
2023-09-01,,-,,SEGA,"maimai でらっくす BUDDiES",,0,0,,,,,,,,
2023-11-01,,-,,SEGA,"英傑大戦 六極の煌剣",,0,0,,吉田幸司|大原徹(Ver1.0)|吉田幸司|石川希人|大原徹(Ver1.5),,,永田泰之|三島順平|花田啓太朗,,根本健太郎(Ver1.0)|根本健太郎|西嶋一真(Ver1.5),
2023-11-01,,-,FTG,SEGA,"バーチャファイター3tb オンライン",,0,0,,,,,,,,
2023-12-01,,-,,SEGA,"チュウニズム ルミナス",,0,0,,,,,,,,
2024-03-01,,-,,SEGA,"maimai でらっくす BUDDiES PLUS",,0,0,,,,,,,,
2024-04-01,,-,,SEGA,"頭文字D THE ARCADE SEASON 4",,0,0,,,,"古瀬登(1st Stage)|佐藤正樹(2nd・5th・Final Stage)|加野晃(4th Stage)|横井秀章|佐藤正樹|佐藤和巳|羽田浩二",土橋安騎夫,関島眞頼,,
2024-06-01,,-,,SEGA,"チュウニズム ルミナス プラス",,0,0,,,,,,,,
2024-09-01,,-,,SEGA,"maimai でらっくす PRiSM",,0,0,,,,,,,,
2024-09-01,,-,,SEGA,"英傑大戦 二天双龍の闘い",,0,0,,吉田幸司|大原徹(Ver1.0)|吉田幸司|石川希人|大原徹(Ver1.5),,,永田泰之|三島順平|花田啓太朗,,根本健太郎(Ver1.0)|根本健太郎|西嶋一真(Ver1.5),
1976-01-01,,-,,KONAMI,"メイズ (Maze)",,0,0,,,,,,,,
1978-01-01,,-,,KONAMI,"スペースキング (Space King)",,0,0,,,,,,,,
1978-01-01,,-,,KONAMI,"スペースシップ (Space Ship)",,0,0,,,,,,,,
1978-01-01,,-,,KONAMI,"ブロックインベーダー (Block Invader)",,0,0,,,,,,,,
1978-01-01,,-,,KONAMI,"ブロックゲーム (Block Game)",,0,0,,,,,,,,
1979-01-01,,-,,KONAMI,スペースウォー,,0,0,,,,,,,,
1979-01-01,,-,,KONAMI,"スペースキング2 (Space King-2)",,0,0,,,,,,,,
1979-01-01,,-,,KONAMI,"スーパーデストロイヤー (Super Destroyer)",,0,0,,,,,,,,
1979-01-01,,-,,KONAMI,"リッチマン (RichMan)",,0,0,,,,,,安達奈緒子,増本淳|関口大輔,
1980-01-01,,-,,KONAMI,"ウルトラインベーダー (Ultra Invaders)",,0,0,,,,,,,,
