発売年,ハード,ジャンル,容量(bit),メーカー,タイトル,価格,ジョブカテゴリ,カウント,マッパー,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1987-01-01,MSX,-,1M,クリスタルソフト,ボルフェスと5人の悪魔,"￥5,800","￥6,000代",1,ASCII_16KB,,,,,,,,
1988-01-01,MSX,-,1M,ハドソン,ボンバーキング,"￥6,200","￥6,000代",1,ASCII_8KB,,おおたひろし,笹川敏幸|おかだひろゆき,竹森得泰|山本次行|松浦浩司|輪島智美|桑原美生|増尾隆幸(パッケージデザイン),井上大介|国本剛章,,,
1983-01-01,MSX,-,8K,ハドソン,ボンバーマン,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,32K,ハドソン,ボンバーマンスペシャル,"￥4,800","￥5,000代",1,Mirrored,,,中本伸一,,竹間淳,,,
1984-01-01,MSX,-,16K,コナミ,ぽんぽこぱん(comicbakery),"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1989-01-01,MSX2,-,1M,デービーソフト,マース,"￥6,800","￥7,000代",1,ASCII_16KB,,,,,,,,
1983-01-01,MSX,-,16K,ソニー,マウザー,"￥4,500","￥4,500代",1,Mirrored,,,,,,,,
1988-01-01,MSX,-,1M,東芝/東芝ＥＭＩ,マグナム危機一髪エンパイアシティ1931,"￥5,800","￥6,000代",1,ASCII_16KB,,,,,,,,
1984-01-01,MSX,-,16K,コナミ,マジカルツリー,"￥4,800","￥5,000代",1,Mirrored,,,,,,,渡辺弘|吉岡正敏,
1985-01-01,MSX,-,不明,ポニーキャニオン,マスターオブザランプ,"￥4,800","￥5,000代",1,?,,,,,,,,
1987-01-01,MSX2,-,1M,キャリーソフト,マッドライダー,"￥6,200","￥6,000代",1,ASCII_8KB,,,,,金指英樹,,,
1984-01-01,MSX,-,32K,ナムコ,マッピー,"￥4,500","￥4,500代",1,Mirrored,,,大野木宜幸|黒須一雄,佐藤英治(企画)|佐藤茂(基板設計)|小野浩(ドットデザイン),大野木宜幸,,,
1988-01-01,MSX2,-,1M,ポニーキャニオン,マラヤの秘宝,"￥5,800","￥6,000代",1,ASCII_16KB,,,,,,,,
1983-01-01,MSX,-,16K,アスキー,マリンバトル,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1986-01-01,MSX,-,32K,ビクター音産,ミクとしおりのニャンニャンプロレス,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1980-01-01,MSX2,-,1M,草思社,ミケランジェロⅡ,￥,￥0代,1,?,,,,,,,,
1987-01-01,MSX2,-,1M,ジャレコ,ミシシッピー殺人事件,"￥6,800","￥7,000代",1,ASCII_8KB,,,,アダム・ベリン|ヒラリー・ミルス,エド・ボガス(英語版),ロブ・スウィガート,ブラッド・フレガー(英語版),
1984-01-01,MSX,-,16K,ソニー,ミスタードゥvsユニコーンズ,"￥4,500","￥4,500代",1,Mirrored,,,,,,,,
1987-01-01,MSX2,-,1M,松下電器産業,ミセスパック,"￥9,800","￥10,000代",1,?,,,,,,,,
1983-01-01,MSX,-,16K,ウェイリミット,ミッドナイトビルディング,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,32K,ソニー,ミッドナイトブラザーズずっこけ探偵,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,16K,ナムコ,ミニゴルフ,"￥4,500","￥4,500代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,リットーミュージック,ミュージック・ハーモナイザー3,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1984-01-01,MSX,-,16K,ＨＡＬ研究所,ミュージックエディタMUE,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,不明,東芝/東芝ＥＭＩ,ミュージックエディター,￥,￥0代,1,?,,,,,,,,
1985-01-01,MSX,-,不明,ソニー,ミュージックスタジオG7,"￥6,800","￥7,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,不明,キャンドゥ,ミュージックワープロMUSICIAN,"￥7,800","￥8,000代",1,?,,,,,,,,
1984-01-01,MSX,-,16K,電波新聞社,ムーンパトロール,"￥4,500","￥4,500代",1,Mirrored,,,,西山隆志,,,スコット津村,
1983-01-01,MSX,-,16K,アスキー,ムーンランディング,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1984-01-01,MSX,-,16K,ZAP,メーニーズ,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1983-01-01,MSX,-,16K,ゼネラル,メガロポリスSOS,"￥4,800","￥5,000代",1,*0,,,,,,,,
1987-01-01,MSX2,-,2M,マイクロキャビン,めぞん一刻想いでのフォトグラフ,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1988-01-01,MSX2,-,4M,マイクロキャビン,めぞん一刻完結編さよなら､そして…,"￥7,800","￥8,000代",1,ASCII_8KB,,,,,,,,
1987-01-01,MSX2,-,1M,コナミ,メタルギア,"￥5,800","￥6,000代",1,Konami48KB(noSCC),,,福井博幸|大塚友則,小島秀夫|たばたまさみ|ふじもとあずさ,水谷郁|たけのうちしげひろ|古川元亮,,,
1990-01-01,MSX2,-,4M,コナミ,メタルギア2ソリッドスネーク,"￥9,800","￥10,000代",1,Konami58KB(SCC),,,,小島秀夫,碇子正広|泉陸奥彦|倉橋裕子|冨田朋也|上原和彦|竹ノ内裕治|関戸剛,小島秀夫,,
1987-01-01,MSX,-,1M,システムサコム,メルヘンヴェールI,"￥5,800","￥6,000代",1,ASCII_8KB,,佐藤浩一,堀本幸男,堀本幸男|いしいたつや|いしいみゆき,佐藤浩一,,,
1986-01-01,MSX,-,32K,カシオ,モアイの秘宝,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,32K,レーベンプロ,もーかりまっか？ぼちぼちでんなっ!,￥,￥0代,1,Mirrored,,,,,,,,
1986-01-01,MSX,-,不明,ビクター音産,モールモール,"￥5,800","￥6,000代",1,?,,,,,,,,
1987-01-01,MSX,-,32K,ビクター音産,モールモール2,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,16K,カシオ,モピレンジャー,"￥4,800","￥5,000代",1,?,,,,,,,,
1985-01-01,MSX,-,16K,コナミ,モピレンジャー,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1989-01-01,MSX2,-,1M,ＧＡ夢／HOT-B,モンモンモンスター(悶々怪物),"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1984-01-01,MSX,-,16K,コナミ,モン太君のいち・に・さんすう(MONKYACADEMY),"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,MSX2,-,2M,ウルフチーフ,ヤシャ(YAKSA),￥,￥0代,1,ASCII_8KB,,,,,,,,
1987-01-01,MSX,-,1M,パック・イン・ビデオ,ヤングシャーロックドイルの遺産,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1985-01-01,MSX,-,不明,ヤマハ,ユニットコネクタ,"￥7,800","￥8,000代",1,?,,,,,,,,
1992-01-01,MSX2,-,8M,光栄,ヨーロッパ戦線,"￥12,800","￥13,000代",1,koei+SRAM,,,,,大野雄二,,シブサワ・コウ,
1983-01-01,MSX,-,16K,アスキー,ライズアウト,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,MSX2,-,2M,タイトー／ニデコ,ラスタンサーガ,"￥5,800","￥6,000代",1,ASCII_8KB,,小林よしのり,小林よしのり|とみたかひであき|たかはしとおる|かざまひでお,西村年幸|西村年幸|讃岐平|河上聖治|栗城源也,八木下直人|高木正彦,,小林よしのり,
1984-01-01,MSX,-,16K,アスキー,ラダービルディング,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1987-01-01,MSX2,-,2M,パック・イン・ビデオ,ラビリンス魔王の迷宮,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,トレヴァー・ジョーンズ,テリー・ジョーンズ,,
1986-01-01,MSX,-,32K,デービーソフト,らぷてっく2,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,不明,ブラザー工業,ラリー,"￥4,200","￥4,000代",1,?,,,,,,,,
1984-01-01,MSX,-,16K,ナムコ,ラリーX,"￥4,500","￥4,500代",1,Mirrored,,,黒須一雄,澤野和則|伊藤博仁|山下正,甲斐敏夫|大野木宜幸,,,
1990-01-01,MSX2,-,4M,光栄,ランペルール,￥,￥0代,1,koei+SRAM,,,,,石黒彰,,シブサワ・コウ,
1985-01-01,MSX,ACT,32K,パック・イン・ビデオ,ランボー,"￥5,800","￥6,000代",1,Mirrored,,,,,ジェリー・ゴールドスミス,ディヴィッド・マレル|『一人だけの軍隊』,,
1983-01-01,MSX,-,8K,タカラ,リアルテニス,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,MSX2,-,1M,キャリーラボ,リターンオブジェルダ,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1987-01-01,MSX2,-,1M,ハミングバードソフト,りっくとみっくの大冒険,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,ナオト・インティライミ(作詞・作曲),,,
1984-01-01,MSX,-,16K,ポニーキャニオン,リバーレイド,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1983-01-01,MSX,-,32K,ポニーキャニオン,ルナーボール,"￥4,900","￥5,000代",1,Mirrored,,仁井谷正充,新谷憲司,新谷憲司,宮本昌知,,,
1987-01-01,MSX2,-,1M,東宝,ルパン3世カリオストロの城,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,大野雄二,モンキー・パンチ,,
1988-01-01,MSX2,-,1M,東宝,ルパン3世バビロンの黄金伝説,"￥6,400","￥6,500代",1,ASCII_8KB,,,,,大野雄二,モンキー・パンチ,,
1985-01-01,MSX,-,16K,イエローホーン,レッドゾーン,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,MSX2,-,1M,ソニー,レプリカート,"￥5,800","￥6,000代",1,ASCII_8KB,,HIROSHI,"WATANABE CYCLING KID|SAKATA NO KINTOKI|MEERKAT",くすもとひろき|くすもとひろき|園田健一,さかたつよし|HIROSHI,,くすもとひろき,
1986-01-01,MSX2,-,2M,ボースティック,レリクス,"￥7,200","￥7,000代",1,ASCII_8KB,,,,,,,,
1986-01-01,MSX,-,1M,ボースティック,レリクス,￥,￥0代,1,ASCII_8KB,,,,,,,,
1991-01-01,MSX2,-,8M,光栄,ロイヤルブラッド,￥,￥0代,1,koei+SRAM,,,,,伊藤ヨシユキ|新田真澄,,シブサワ・コウ,
1984-01-01,MSX,-,16K,アスキー,ローターズ,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1983-01-01,MSX,-,16K,アスキー,ロードオーバー,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,チャック・ベリー,,".mw-parser-output .hlist dl|.mw-parser-output .hlist ol|.mw-parser-output .hlist ul{margin:0;padding:0}.mw-parser-output .hlist dd|.mw-parser-output .hlist dt|.mw-parser-output .hlist li{margin:0;display:inline-block;word-break:keep-all}.mw-parser-output .hlist.inline|.mw-parser-output .hlist.inline dl|.mw-parser-output .hlist.inline ol|.mw-parser-output .hlist.inline ul|.mw-parser-output .hlist dl dl|.mw-parser-output .hlist dl ol|.mw-parser-output .hlist dl ul|.mw-parser-output .hlist ol dl|.mw-parser-output .hlist ol ol|.mw-parser-output .hlist ol ul|.mw-parser-output .hlist ul dl|.mw-parser-output .hlist ul ol|.mw-parser-output .hlist ul ul{display:inline}.mw-parser-output .hlist .mw-empty-li{display:none}.mw-parser-output .hlist dt::after{content:"": ""}.mw-parser-output .hlist dd:after|.mw-parser-output .hlist li:after{content:"" ·\a0 "";font-weight:bold}.mw-parser-output .hlist-pipe dd:after|.mw-parser-output .hlist-pipe li:after{content:"" |\a0 "";font-weight:normal}.mw-parser-output .hlist-hyphen dd:after|.mw-parser-output .hlist-hyphen li:after{content:"" -\a0 "";font-weight:normal}.mw-parser-output .hlist-comma dd:after|.mw-parser-output .hlist-comma li:after{content:""|"";font-weight:normal}.mw-parser-output .hlist-slash dd:after|.mw-parser-output .hlist-slash li:after{content:"" /\a0 "";font-weight:normal}.mw-parser-output .hlist dd:last-child:after|.mw-parser-output .hlist dt:last-child:after|.mw-parser-output .hlist li:last-child:after{content:none}.mw-parser-output .hlist dd dd:first-child:before|.mw-parser-output .hlist dd dt:first-child:before|.mw-parser-output .hlist dd li:first-child:before|.mw-parser-output .hlist dt dd:first-child:before|.mw-parser-output .hlist dt dt:first-child:before|.mw-parser-output .hlist dt li:first-child:before|.mw-parser-output .hlist li dd:first-child:before|.mw-parser-output .hlist li dt:first-child:before|.mw-parser-output .hlist li li:first-child:before{content:""("";font-weight:normal}.mw-parser-output .hlist dd dd:last-child:after|.mw-parser-output .hlist dd dt:last-child:after|.mw-parser-output .hlist dd li:last-child:after|.mw-parser-output .hlist dt dd:last-child:after|.mw-parser-output .hlist dt dt:last-child:after|.mw-parser-output .hlist dt li:last-child:after|.mw-parser-output .hlist li dd:last-child:after|.mw-parser-output .hlist li dt:last-child:after|.mw-parser-output .hlist li li:last-child:after{content:"")\a0 "";font-weight:normal}.mw-parser-output .hlist ol{counter-reset:listitem}.mw-parser-output .hlist ol>li{counter-increment:listitem}.mw-parser-output .hlist ol>li:before{content:"" ""counter(listitem)""\a0 ""}.mw-parser-output .hlist dd ol>li:first-child:before|.mw-parser-output .hlist dt ol>li:first-child:before|.mw-parser-output .hlist li ol>li:first-child:before{content:""(""counter(listitem)""\a0 ""}レナード・チェスフィル・チェス",
1985-01-01,MSX,-,16K,カシオ,ロードファイター,"￥4,800","￥5,000代",1,?,,,,,佐々木嘉則,,,
1985-01-01,MSX,-,16K,コナミ,ロードファイター,"￥4,800","￥5,000代",1,Mirrored,,,,,佐々木嘉則,,,
1984-01-01,MSX,-,32K,ソニー,ロードランナー,"￥5,800","￥6,000代",1,Mirrored,,,,ダグラス・E・スミス,,,,
1984-01-01,MSX,-,32K,ソニー,ロードランナーII,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,ＨＡＬ研究所,ローラーボール,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1980-01-01,不明,-,不明,ＨＡＬ研究所,ロケットロジャー,￥,￥0代,1,?,,,,,,,,
1985-01-01,MSX,-,16K,ポニーキャニオン,ロックンボルト,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,32K,徳間書店／テクノポリス,ロットロット,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,MSX,-,1M,マイクロネット,ロボレス2001年(ROBOWRES2001),"￥5,800","￥6,000代",1,ASCII_16KB,,,,,,,,
1986-01-01,MSX,-,1M,ファルコム,ロマンシア,"￥5,800","￥6,000代",1,ASCII_16KB,,,木屋善夫|秋葉紀好,木屋善夫|山根朝郎,阿部隆人|古代祐三,五十嵐哲也,,
1986-01-01,MSX2,-,1M,ファルコム,ロマンシア,"￥5,800","￥6,000代",1,ASCII_16KB,,,木屋善夫|秋葉紀好,木屋善夫|山根朝郎,阿部隆人|古代祐三,五十嵐哲也,,
1985-01-01,MSX,-,不明,ソニー,ワードランド文II,"￥14,800","￥15,000代",1,?,,,,,,,,
1985-01-01,MSX2,-,不明,ソニー,ワードランド文II,￥,￥0代,1,?,,,,,,,,
1984-01-01,MSX,-,8K,ナムコ,ワープ＆ワープ,"￥4,500","￥4,500代",1,Mirrored,,,深谷正一|大森田不可止,小野浩,慶野由利子|小沢純子|大野木宜幸,,,
1985-01-01,MSX,-,不明,日本コロムビア,ワイルドキャット,"￥4,800","￥5,000代",1,?,,,,,,,,
1984-01-01,MSX,-,16K,コナミ,わんぱくアスレチック(ATHLETICLAND),"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,MSX2,-,2M,マイクロキャビン,亜空戦記グリフォン,"￥6,800","￥7,000代",1,?,,,,,,,,
1986-01-01,MSX2,-,1M,コナミ,悪魔城ドラキュラ(VAMPIREKILLER),"￥5,800","￥6,000代",1,Konami48KB(noSCC),,,,,,,,
1980-01-01,不明,-,不明,東芝/東芝ＥＭＩ,宛名書き,￥,￥0代,1,?,,,,,,,,
1986-01-01,MSX,-,32K,カシオ,闇の竜王ハデスの紋章,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,16K,カシオ,伊賀忍法帖,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,32K,カシオ,伊賀忍法帖満月城の戦い,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1991-01-01,MSX2,-,8M,光栄,伊忍道打倒信長,￥,￥0代,1,koei+SRAM,,,,,若桑比織,,シブサワ・コウ,
1988-01-01,MSX2,-,1M,パック・イン・ビデオ,井出洋介名人の実戦麻雀,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1987-01-01,MSX,-,32K,カシオ,一寸法師のどんなもんだい,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1989-01-01,MSX2,-,4M,光栄,維新の嵐,￥,￥0代,1,koei+SRAM,,,,,菅野よう子|山本光男,,シブサワ・コウ,
1985-01-01,MSX,-,32K,東芝/東芝ＥＭＩ,宇宙戦士「隼」(MOONSWEEPER),"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,32K,タイトー／ニデコ,影の伝説,"￥4,900","￥5,000代",1,Mirrored,,,,,小倉久佳,,,
1984-01-01,MSX,-,8K,ＨＡＬ研究所,泳いでタンゴ,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,不明,東芝/東芝ＥＭＩ,英文ワードプロセッサ,"￥7,800","￥8,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,16K,東芝/東芝ＥＭＩ,王家の谷(KING'SVALLEY),"￥4,800","￥5,000代",1,?,,,,,,,,
1985-01-01,MSX,-,16K,カシオ,王家の谷(KING'SVALLEY),"￥4,800","￥5,000代",1,?,,,,,,,,
1985-01-01,MSX,-,16K,コナミ,王家の谷(KING'SVALLEY),"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,MSX2,-,1M,コナミ,王家の谷エルギーザの封印(KING'SVALLEYII),"￥5,800","￥6,000代",1,Konami58KB(SCC),,,,,,,,
1988-01-01,MSX,-,1M,コナミ,王家の谷2エルギーザの封印(KING'SVALLEYII),"￥5,800","￥6,000代",1,Konami58KB(SCC),,,,,,,,
1984-01-01,MSX,-,不明,リットーミュージック,音感トレーニング,"￥4,800","￥5,000代",1,?,,,,,,,,
1987-01-01,MSX2,-,1M,コナミ,火の鳥鳳凰編,"￥5,800","￥6,000代",1,Konami48KB(noSCC),,"LOVELY HIDEKI","LOVELY HIDEKI",霜出健治,水谷郁|前沢秀憲|山下絹代,,,
1984-01-01,MSX,-,32K,東芝/東芝ＥＭＩ,花札,"￥6,800","￥7,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,RAMソフト,花札コイコイ,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,MSX2,-,2M,ザインソフト,牙龍王,"￥6,400","￥6,500代",1,ASCII_8KB,,,,,,,,
1986-01-01,MSX2,-,不明,東芝/東芝ＥＭＩ,絵葉書用ワープロ,"￥9,800","￥10,000代",1,?,,,,,,,,
1988-01-01,MSX2,-,2M,グレイト,学園物語,￥,￥0代,1,ASCII_16KB,,,,,,,,
1980-01-01,不明,-,不明,ストラッドフォード,楽しい算数,￥,￥0代,1,?,,"Anton Prydatko(Guy)","Anton Prydatko|Alexander J. Lin|Matthew Dale|Michael Miko","Character Design :|シエラ|Visual Design :|Anton Prydatko(Guy)|Sound Design :|ak+q|N²|Design Support :|Khronetic",,,"Anton Prydatko(Guy)",
1985-01-01,MSX,-,1M,ビクター音産,漢字ROM,"￥29,800","￥30,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,不明,ヤマハ,漢字カセットラベラ,"￥7,800","￥8,000代",1,?,,,,,,,,
1986-01-01,MSX,-,不明,東芝/東芝ＥＭＩ,漢字テロッパ,"￥25,000","￥25,000代",1,?,,,,,,,,
1984-01-01,MSX,-,不明,ヤマハ,漢字ワープロユニット,"￥49,800","￥50,000代",1,?,,,,,,,,
1984-01-01,MSX,-,不明,松下電器産業,漢字ワープロユニット,"￥49,800","￥50,000代",1,?,,,,,,,,
1985-01-01,MSX,-,不明,ヤマハ,漢字住所録,"￥7,800","￥8,000代",1,?,,,,,,,,
1985-01-01,MSX,-,不明,ヤマハ,漢字枠組自在,"￥9,800","￥10,000代",1,?,,,,,,,,
1985-01-01,MSX,-,不明,マイクロキャビン,管理馬券,"￥3,500","￥3,500代",1,?,,,,,,,,
1984-01-01,MSX,-,不明,ハドソン,簡易言語データ君,"￥12,800","￥13,000代",1,?,,,,,,,,
1985-01-01,MSX,-,32K,ソニー,頑張れトラックボーイペイロード,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,MSX2,-,1M,ソニー,奇々怪界,"￥5,800","￥6,000代",1,ASCII_8KB,,波多野幹夫,石田一朋|佐々木大輔,薮崎久也|西村年幸|三方一哉,小倉久佳(ZUNTATA),,,
1987-01-01,MSX2,-,1M,ソニー,棋聖,"￥6,800","￥7,000代",1,ASCII_8KB+SRAM,,,,,,,,
1984-01-01,MSX,-,16K,バンダイ,機動戦士ガンダム,"￥4,800","￥5,000代",1,Mirrored,,,,安彦良和|大河原邦男,渡辺岳夫|松山祐士,星山博之|松崎健一|荒木芳久|山本優|富野喜幸,,
1986-01-01,MSX,-,32K,ＨＡＬ研究所,機動惑星スティルス,"￥5,600","￥5,500代",1,Mirrored,,,,,,,,
1987-01-01,MSX,-,1M,チャンピオンソフト,詰碁120関西棋院監修,"￥8,000","￥8,000代",1,ASCII_16KB,,,,,,,,
1988-01-01,MSX2,-,1M,ポニーキャニオン,居眠り流阿佐田哲也のA級麻雀,"￥5,800","￥6,000代",1,ASCII_16KB,,,,,,,,
1984-01-01,MSX,-,16K,バンダイ,銀河漂流バイファム,"￥4,800","￥5,000代",1,*0,,,,芦田豊雄|大河原邦男,渡辺俊幸,神田武幸|星山博之|原案:矢立肇|富野由悠季,,
1985-01-01,MSX,-,32K,東芝/東芝ＥＭＩ,軍人将棋軍神マース,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,1M,エニックス,軽井沢誘拐案内,"￥5,800","￥6,000代",1,ASCII_8KB,,堀井雄二,堀井雄二,堀井雄二,,堀井雄二,,
1989-01-01,MSX2,-,1M,コナミ,激突ペナントレース2,"￥6,800","￥7,000代",1,Konami58KB(SCC),,,,,,,,
1986-01-01,MSX,-,32K,カシオ,賢者の石,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,東芝/東芝ＥＭＩ,五目ならべ,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,東芝/東芝ＥＭＩ,功夫大君,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,MSX2,-,2M,ポニーキャニオン,孔雀王,"￥5,800","￥6,000代",1,?,,,,越智博之(1)|摩砂雪(2)|岸田隆宏(3)|小池健|阿部恒,,荻野真,,
1986-01-01,MSX,-,32K,ハドソン,高橋名人の冒険島,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1989-01-01,MSX2,-,1M,コナミ,魂斗羅,"￥5,800","￥6,000代",1,Konami58KB(SCC),,廣下宏治,"岡本覚|辻本英之|KOICHI COBRA",中村健吾,村岡一樹,,,
1987-01-01,MSX,-,1M,コナミ,沙羅曼蛇,"￥6,800","￥7,000代",1,Konami58KB(SCC),,,町口浩康|たけもとみつお|高取利明|みのわいくこ,町口浩康|櫻井潤|よしたかみき|ばんどういくこ,波多野よしあき(SE・プログラム)|東野美紀(作曲),,,
1988-01-01,MSX2,-,4M,マイクロキャビン,殺人倶楽部,￥,￥0代,1,ASCII_8KB,,,,,,,,
1989-01-01,MSX,-,1M,ナツメ,三つ目がとおる,"￥7,800","￥8,000代",1,ASCII_8KB,,,,清山滋崇|宇田川一彦|山根公利,渡辺俊幸,手塚治虫(原作)|藤澤勇希(脚本),,
1986-01-01,MSX,-,2M,光栄,三國志,"￥12,800","￥13,000代",1,koei+SRAM,,,,,,,,
1988-01-01,MSX2,-,4M,光栄,三國志,￥,￥0代,1,koei+SRAM,,,,,,,,
1991-01-01,MSX2,-,8M,光栄,三國志Ⅱ,￥,￥0代,1,koei+SRAM,,,,,向谷実,,シブサワ・コウ,
1986-01-01,MSX,-,32K,カシオ,仔猫の大冒険チビちゃんがいく,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,1M,松下電器産業,辞書データ,￥,￥0代,1,"[辞書データ] rom",,,,,,,,
1987-01-01,MSX2,-,1M,システムソフト,上海,￥,￥0代,1,ASCII_16KB,,,,,,,,
1987-01-01,MSX2,-,2M,ビクター音産,死霊戦線,"￥8,800","￥9,000代",1,ASCII_8KB+SRAM,,,,,,,,
1984-01-01,MSX,-,16K,ソニー,実戦四人麻雀,"￥4,000","￥4,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,不明,松下電器産業,住所録/名刺管理ソフト,"￥8,800","￥9,000代",1,?,,,,,,,,
1986-01-01,MSX,-,不明,ソニー,渋滞パニックトラフィック,"￥4,900","￥5,000代",1,?,,,,,,,,
1987-01-01,MSX,-,不明,ランダムハウス,獣神ローガス,"￥5,800","￥6,000代",1,?,,,,,,,,
1985-01-01,MSX,-,32K,ポニーキャニオン,将棋,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,16K,マイクロ・キャビン,将棋(SHOGI),￥,￥0代,1,Mirrored,,,,,,,,
1985-01-01,MSX,-,32K,東芝/東芝ＥＭＩ,将棋名人,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1987-01-01,MSX,-,1M,日本デクスタ,将軍,"￥7,800","￥8,000代",1,ASCII_8KB+SRAM,,,,,,,,
1989-01-01,MSX2,-,4M,光栄,信長の野望戦国群雄伝,"￥11,800","￥12,000代",1,koei+SRAM,,,,,菅野よう子|山本光男,,シブサワ・コウ,
1991-01-01,MSXTurboR,-,8M,光栄,信長の野望武将風雲録,"￥11,800","￥12,000代",1,koei+SRAM,,,,,菅野よう子,,シブサワ・コウ,
1987-01-01,MSX2,-,4M,光栄,信長の野望全国版,"￥9,800","￥10,000代",1,koei+SRAM,,,,,菅野よう子,,シブサワ・コウ,
1987-01-01,MSX,-,2M,光栄,信長の野望全国版,"￥9,800","￥10,000代",1,koei+SRAM,,,,,菅野よう子,,シブサワ・コウ,
1986-01-01,MSX,-,32K,コナミ,新世SIZER,"￥6,800","￥7,000代",1,"[新世SIZER] rom",,,,,,,,
1986-01-01,MSX,-,32K,東芝/東芝ＥＭＩ,森田和郎のオセロ,"￥4,900","￥5,000代",1,Mirrored,,"Anton Prydatko(Guy)","Anton Prydatko|Alexander J. Lin|Matthew Dale|Michael Miko","Character Design :|シエラ|Visual Design :|Anton Prydatko(Guy)|Sound Design :|ak+q|N²|Design Support :|Khronetic",,,"Anton Prydatko(Guy)",
1985-01-01,MSX,-,32K,東芝/東芝ＥＭＩ,人魚伝説,"￥4,800","￥5,000代",1,Mirrored,,,,,"作詞: 岡田冨美子|作曲: 浜圭介",,,
1989-01-01,MSX2,-,4M,光栄,水滸伝天命の誓い,￥,￥0代,1,koei+SRAM,,,,,木下伸司|三井一正|滝沢洋一,,シブサワ・コウ,
