発売日,ハード,容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,クロスレビュー(評価),👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1994-12-16,MD,8M,ACT,アルトロン,トムとジェリー,"￥8,800","￥9,000代",0,-,,,,,,,,
1994-12-16,MD,16M,RAC,アクレイム,ナイジェルマンセル・インディカー,"￥7,800","￥8,000代",0,-,,,,,,,,
1994-12-16,MD(32X),24M,RAC,セガ,バーチャレーシングデラックス,"￥8,800","￥9,000代",0,-,,,,,,,,
1994-12-16,MD,16M,ACT,カプコン,ミッキーとミニーマジカルアドベンチャー2,"￥7,800","￥8,000代",0,-,,,篠原雅嗣,,友澤眞,,ノア・ダッドレー|ゲーリー・グレイパー,
1994-12-20,MD,16M,SPT,テクモ,テクモスーパーボウル2スペシャルエディション,"￥9,980","￥10,000代",0,-,,,,,,,,
1995-01-13,MD(32X),16M,SHT,セガ,アフターバーナー・コンプリート,"￥4,980","￥5,000代",0,-,,,,,,,,
1995-01-13,MD,16M,TAB,セガ,イチダントアール,"￥6,800","￥7,000代",0,31,,,,,,,,
1995-01-20,MD,16M,RPG,セガ,ドラゴンスレイヤー英雄伝説II,"￥8,800","￥9,000代",0,-,,,,,,,,
1995-01-27,MD(32X),24M,ACT,セガ,サイバーブロール,"￥7,800","￥8,000代",0,-,,,,,,,,
1995-02-17,MD,16M,ACT,セガ,リスター・ザ・シューティングスター,"￥6,800","￥7,000代",0,-,,,金子博政|吉田茂|ひらいなおみ|松本卓也,西野陽|新村岳史|三宅拓巳|上川祐司,佐々木朋子,,麻生宏|押谷眞|石井洋児|金成実,
1995-02-24,MD(32X),24M,SPT,セガ,GOLFMAGAZINEPRESENTS36GREATHOLESSTARRINGFREDCOUPLES,"￥8,800","￥9,000代",0,-,,,,,,,,
1995-02-24,MD,24M,SPT,アクレイム,NBAJAMトーナメントエディション,"￥8,800","￥9,000代",0,-,,,,,,,,
1995-02-24,MD,24M,SPT,アクレイム,NFLクォーターバッククラブ'95,"￥8,800","￥9,000代",0,-,,,,,,,,
1995-02-24,MD,16M,ACT,セガ,エイリアンソルジャー,"￥6,800","￥7,000代",0,-,,,菅波秀幸,進藤要,半沢紀雄,,菅波秀幸,
1995-02-24,MD(32X),24M,ACT,セガ,メタルヘッド,"￥7,800","￥8,000代",0,-,,,,,,,,
1995-03-17,MD,16M,RPG,セガ,サージングオーラ,"￥8,800","￥9,000代",0,-,,,,いのまたむつみ,,林田浩太郎,,
1995-03-24,MD(32X),24M,ACT,セガ,TEMPO,"￥7,800","￥8,000代",0,-,,,,,,,,
1995-03-31,MD,16M,ACT,セガ,ミッキーマニア,"￥7,800","￥8,000代",0,30,,,,,,,,
1995-04-21,MD(32X),24M,ACT,セガ,カオティクス,"￥7,800","￥8,000代",0,-,,小林正英|中村篤彦|なかざわなおひさ,岡本浩|矢島利明,福津浩|三浦桂介|小野健一|工藤稜|三宅拓巳|石渡爾奈|星野一幸|ソエジマヤスフミ,白津順子|南波真理子,,麻生宏|押谷眞|マイク・ラーセン,
1995-04-26,MD(32X),16M,SHT,セガ,ステラアサルト,"￥7,800","￥8,000代",0,-,,,,,,,,
1995-04-28,MD,16M,SPT,バンダイ,テレビアニメ・スラムダンク強豪真っ向対決!,"￥8,800","￥9,000代",0,-,,,,,,,,
1995-04-28,MD,16M,ACT,アクレイム,トゥルーライズ,"￥7,800","￥8,000代",0,-,,,,,ブラッド・フィーデル,クロード・ジディ|シモン・ミシェル|ディディエ・カミンカ,,
1995-05-19,MD(32X),32M,ACT,アクレイム,モータルコンバットII究極神拳,"￥9,800","￥10,000代",0,-,,,,,,,,
1995-05-26,MD,16M,ACT,アクレイム,マキシマムカーネイジ,"￥7,800","￥8,000代",0,-,,,,,,,,
1995-05-26,MD,16M,ACT,セガ,ライトクルセイダー,"￥7,800","￥8,000代",0,-,,,石田和彦|前川正人,井内洋|荻野誠|進藤要|木村幸一,畑亜貴,,,
1995-07-14,MD(32X),24M,SPT,アクレイム,NFLクォーターバッククラブ'95,"￥8,800","￥9,000代",0,-,,,,,,,,
1995-07-14,MD(32X),16M,SHT,セガ,パラスコード,"￥7,800","￥8,000代",0,-,,,,,,,,
1995-07-21,MD,16M,SPT,セガ,超球界ミラクルナイン,"￥7,800","￥8,000代",0,-,,,,,,,,
1995-07-28,MD(32X),32M,SLG,光栄,三國志IV,"￥14,800","￥15,000代",0,-,,,,,長生淳|久保田邦夫,,シブサワ・コウ,
1995-08-04,MD,16M,SPT,セガ,プロストライカーファイナルステージ,"￥7,800","￥8,000代",0,-,,,,,,,,
1995-09-01,MD(32X),32M,SPT,アクレイム,NBAジャム・トーナメントエディション,"￥9,800","￥10,000代",0,-,,,,,,,,
1995-09-01,MD(32X),32M,SPT,アクレイム,WWFRAW,"￥9,800","￥10,000代",0,-,,,,,"Lil Wayne",エド・コスキー|RAW構成作家,ビンス・マクマホン|ケビン・ダン|トリプルH,
1995-09-01,MD,16M,ACT,セガ,コミックスゾーン,"￥7,800","￥8,000代",0,30,,エイドリアン・スティーブンス,エイドリアン・スティーブンス,ピーター・モラウィエク|ピーター・モラウィエク|トニー・デズニーガ(英語版)|アレックス・ニーニョ(英語版),ハワード・ドロシン,,マイケル・ウォーリス,
1995-09-01,MD,24M,ACT,アクレイム,ジャスティスリーグ,"￥8,800","￥9,000代",0,-,,,,,ダニー・エルフマン,DCコミックス,,
1995-09-01,MD,16M,ACT,アクレイム,ジャッジ・ドレッド,"￥7,800","￥8,000代",0,-,,,,,アラン・シルヴェストリ,キャラクター創造|ジョン・ワグナー|カルロス・エスクエラ,,
1995-09-22,MD,8M,ACT,セガ,ジ・ウーズ,"￥5,800","￥6,000代",0,-,,,デイヴ・サナー,ジェイソン・クオ|スティーグ・ヘドランド(英語版)|デイヴ・サナー|ボブ・スティール|ジョン・デュガン,ハワード・ドロシン,,マイケル・ウォーリス,
1995-10-20,MD(32X),32M,ACT,セガ,バーチャファイター,"￥7,800","￥8,000代",0,30,,鈴木裕,池淵徹,石井精一,中村隆之,,鈴木裕,
1995-10-27,MD,24M,ACT,アクレイム,バットマンフォーエヴァー,"￥8,800","￥9,000代",0,-,,,,,エリオット・ゴールデンサール,キャラクター創造|ボブ・ケイン,,
1995-10-27,MD,24M,SPT,アクレイム,フォアマンフォーリアル,"￥8,800","￥9,000代",0,-,,,,,,,,
1995-12-22,MD,8M,ACT,セガ,ぺぺんがPENGO,"￥4,980","￥5,000代",0,-,,,,,,,,
1995-12-31,MD,24M,SPT,アクレイム,WWFRAW,"￥8,800","￥9,000代",0,-,,,,,"Lil Wayne",エド・コスキー|RAW構成作家,ビンス・マクマホン|ケビン・ダン|トリプルH,
1995-12-31,MD,16M,ACT,アクレイム,バーチャルバート,"￥8,800","￥9,000代",0,-,,,,,,,,
1996-03-22,MD,16M,RPG,コンパイル,魔導物語I,"￥7,800","￥8,000代",0,-,,,,,,,,
1991-12-12,MD💿CD,💿540MB,-,ウルフチーム,ソル・フィース💿,調査中,調査中,0,-,,,谷裕紀彦,浜田忠司|山本利雄,桜庭統,おおつやまちしお,秋篠雅弘,
1991-12-12,MD💿CD,💿540MB,-,マイクロネット,ヘビーノバ💿,調査中,調査中,0,-,,,,,,,,
1991-12-14,MD💿CD,💿540MB,-,シュールド・ウェーブ,ノスタルジア1907💿,調査中,調査中,0,-,,,,,,,,
1991-12-20,MD💿CD,💿540MB,-,ウルフチーム,アーネスト・エバンス💿,調査中,調査中,0,-,,,,,,,,
1991-12-20,MD💿CD,💿540MB,-,セガ,惑星ウッドストックファンキーホラーバンド💿,調査中,調査中,0,-,,,,,,,,
1991-12-28,MD💿CD,💿540MB,-,ゲームアーツ,天下布武英雄たちの咆哮💿,調査中,調査中,0,-,,宮路武,大畑和幸|浜田憲一,上村眞理子|毛利彰,青島伸幸|石母田守|KASS|園田容子|西隆宏,上坂哲,宮路洋一,
1992-02-18,MD💿CD,💿540MB,-,ウルフチーム,精霊神世紀フェイエリア💿,調査中,調査中,0,-,,,,,,,,
1992-03-27,MD💿CD,💿540MB,-,日本テレネット,コズミックファンタジーストーリーズ💿,調査中,調査中,0,-,,,,,,,,
1992-04-17,MD💿CD,💿540MB,-,日本テレネット,デスブリンガー秘められた紋章💿,調査中,調査中,0,-,,,,,,,スピッツ|高橋信彦|笹路正徳|土方隆行,
1992-05-29,MD💿CD,💿540MB,-,ウルフチーム,アイルロード💿,調査中,調査中,0,-,,,,,,,,
1992-05-29,MD💿CD,💿540MB,-,セガ,クイズスクランブルスペシャル💿,調査中,調査中,0,-,,,,,,,,
1992-06-19,MD💿CD,💿540MB,-,日本テレネット,魔法の少女シルキーリップ💿,調査中,調査中,0,-,,遠藤正二朗,大竹リップ♡,木下崇,梅津貴陽,遠藤正二朗,小川史生,
1992-06-26,MD💿CD,💿540MB,-,ゲームアーツ,ルナザ・シルバースター💿,調査中,調査中,11,-,,,,窪岡俊之,溝口功|岩垂徳行|藤岡央|窪寺義明|渋谷道玄,重馬敬,宮路洋一,
1992-07-31,MD💿CD,💿540MB,-,ホット・ビィ,デトネイター・オーガン💿,調査中,調査中,0,-,,,,"菊池通隆|幡池裕行[注 1]|柿沼秀樹[注 2]|山根公利[注 2]|阿久津潤一[注 2]|夢野れい[注 2]",平沢進,柿沼秀樹,,
1992-08-07,MD💿CD,💿540MB,-,ビクター,プリンス・オブ・ペルシャ💿,調査中,調査中,0,-,,,ジョーダン・メックナー,ジョーダン・メックナー,フランシス・メックナー,,ブライアン・エーラー,
1992-08-28,MD💿CD,💿540MB,-,ウルフチーム,サンダーストームFX💿,調査中,調査中,0,-,,,,,,,,
1992-09-11,MD💿CD,💿540MB,-,セガ,ブライ八玉の勇士伝説💿,調査中,調査中,0,-,,,,,,,,
1992-09-25,MD💿CD,💿540MB,-,セガ,ライズ・オブ・ザ・ドラゴン💿,調査中,調査中,0,30,,ジェフ・タネル(英語版),ダリウス・ルーカス|リチャード・レイル|ケヴィン・ライアン,ジェフ・タネル|ランディ・ダルシャム|ロバート・カラコール,ドン・ラタルスキー(英語版)|クリストファー・スティーブンス(英語版),ジェリー・ラトレル|デヴィッド・セラ,,
1992-09-25,MD💿CD,💿540MB,-,ビクター,ワンダードッグ💿,調査中,調査中,0,-,,,,高橋沙妃,"DÉ DÉ MOUSE|ミト",野島伸司,,
1992-10-23,MD💿CD,💿540MB,-,マイクロネット,ブラックホールアサルト💿,調査中,調査中,0,-,,,,,,,,
1992-10-30,MD💿CD,💿540MB,-,セガ,プロ野球スーパーリーグCD💿,調査中,調査中,0,-,,,,,,,,
1992-11-13,MD💿CD,💿540MB,-,ウルフチーム,タイムギャル💿,調査中,調査中,0,-,,,くりやまたかし,藤原英裕|今沢哲男|我妻宏,今村善雄,,,
1992-11-27,MD💿CD,💿540MB,-,コンパイル,電忍アレスタ💿,調査中,調査中,0,-,,渡辺孝行,TAKIN|山下孝一|広野隆行,渡辺孝行|龍王院弘|大西伸一|高島俊介|渡辺孝行,田中勝巳|嶋崎聡,,仁井谷正充,
1992-12-18,MD💿CD,💿540MB,-,セガ,アフターバーナー3💿,調査中,調査中,0,-,,鈴木裕|浜垣博志,三船敏,鈴木裕,川口博史,,中山隼雄,
1992-12-18,MD💿CD,💿540MB,-,ウルフチーム,ロードブラスターFX💿,調査中,調査中,0,32,,岸本良久,熊谷慎太郎,高山秀樹|稲野義信,,,,
1992-12-18,MD💿CD,💿540MB,-,ゲームアーツ,ぎゅわんぶらあ自己中心派2激闘!東京マージャンランド編💿,調査中,調査中,6,30,,,,,,,,
1992-12-25,MD💿CD,💿540MB,-,ウルフチーム,天舞メガCDスペシャル💿,調査中,調査中,0,-,,,,,,,,
1992-12-25,MD💿CD,💿540MB,-,シムス,カプコンのクイズ殿様の野望💿,調査中,調査中,0,-,,,松嶋延幸|中井一仁,"飯島哲也|C.KANEMITSU|M.OKAZAKI|KITASAN|MARILYN HIGUCHI",松前真奈美|GIPS.PAPA,,岡本吉起,
1992-01-04,MD💿CD,💿540MB,-,ビクター,ワンダーメガコレクション💿,調査中,調査中,0,-,,,,,,,,
1992-07-26,MD💿CD,💿540MB,-,BMGビクター,SING!!セガゲームミュージックPresentedbyB.B.クィーンズ💿,調査中,調査中,0,-,,,,,,,,
1993-01-03,MD💿CD,💿540MB,-,データウエスト,サイキック・ディテクティブ・シリーズVol.3AYA💿,調査中,調査中,0,-,,,,,,,,
1993-01-29,MD💿CD,💿540MB,-,ゲームアーツ,ゆみみみっくす💿,調査中,調査中,0,-,,岡部博明,小山洋幸|坂本順一|瀬川佳久|金井秀樹|工藤直樹|渡谷光浩,竹本泉,上條有|國島憲一|松田明男,竹本泉,宮路洋一|上坂哲,
1993-03-12,MD💿CD,💿540MB,-,セガ,シムアース💿,調査中,調査中,0,-,,,ダニエル・ゴールドマン|ポール・シュミット,フレッド・ハスラム|ウィル・ライト|ケイトリン・ミシェルデイトン|ピーター・ミシェルデイトン|ジェニー・マーティン|スーザン・グリーン,ヒース・ペーターソン,,スティーヴ・ベッカート,
1993-03-12,MD💿CD,💿540MB,-,タイトー,ニンジャウォーリアーズ💿,調査中,調査中,0,-,,緒方正樹,永田喜久|岩崎雄二|わたべよしゆき|緒方正樹|佐々木大輔,辻野浩司|石川幸生,小倉久佳,辻野浩司,末角要次郎,
1993-03-19,MD💿CD,💿540MB,-,ビクター,ウルフチャイルド💿,調査中,調査中,0,-,,,,,,,,
1993-03-26,MD💿CD,💿540MB,-,ビクター,ジャガーXJ220💿,調査中,調査中,0,-,,,,キース・ヘルフェット,,,,
1993-03-30,MD💿CD,💿540MB,-,ウルフチーム,アネット再び💿,調査中,調査中,0,-,,,,,,,,
1993-04-02,MD💿CD,💿540MB,-,セガ,ファイナルファイトCD💿,調査中,調査中,0,-,,,,,,,,
1993-04-23,MD💿CD,💿540MB,-,コーエー,三國志3💿,調査中,調査中,0,-,,,,,菅野よう子,,シブサワ・コウ,
1993-04-23,MD💿CD,💿540MB,-,セガ,セガクラシックアーケードコレクション💿,調査中,調査中,0,-,,,,,,,,
1993-04-23,MD💿CD,💿540MB,-,セガ,スイッチ💿,調査中,調査中,0,30,,,,,,,,
1993-04-23,MD💿CD,💿540MB,-,メサイヤ,らんま1/2白蘭愛歌💿,調査中,調査中,0,-,,岩崎秀雄|鈴木茂,小林一美|鈴木茂,菅原真由美|中山智純|北京黒犬|ZAZZIE|押見充利,飯塚博|高木みゆき|前田華代子,鈴木茂|川久保雄一,菅沼孝夫|盛武源|土田俊郎,
1993-05-28,MD💿CD,💿540MB,-,ウルフチーム,デバステイター💿,調査中,調査中,0,-,,,,,,,,
1993-05-28,MD💿CD,💿540MB,-,タイトー,ナイトストライカー💿,調査中,調査中,0,-,,海道賢仁,菅原徹|橋本英樹|つかのとしあき|津森康男|きたばやしたかし,関口忍|のむらあきお,高木正彦,,菅原徹,
1993-05-28,MD💿CD,💿540MB,-,マイクロキャビン,幻影都市ILLUSIONCITY💿,調査中,調査中,0,-,,中津泰彦,,中津泰彦|百鬼丸|陣内靖弘|橘田幸雄,新田忠弘|福田康文|瓜田幸治,加藤雅史,,
1993-06-25,MD💿CD,💿540MB,-,セガ,メガシュヴァルツシルト💿,調査中,調査中,0,-,,,,,,,,
1993-06-25,MD💿CD,💿540MB,-,日本テレネット,Aランクサンダー誕生編💿,調査中,調査中,0,-,,遠藤正二朗,粕谷智昭,遠藤正二朗|韮沢靖|後藤正行,小川史生|三好敏彦|近藤昭雄|平沢悦章|福島尚哉|YUJI,遠藤正二朗,小川史生,
1993-07-16,MD💿CD,💿540MB,-,セガ,ダイナミックカントリークラブ💿,調査中,調査中,0,-,,,,,,,,
1993-07-23,MD💿CD,💿540MB,-,ウルフチーム,アークス1・2・3💿,調査中,調査中,0,-,,,,,,,,
1993-07-23,MD💿CD,💿540MB,-,セガ,聖魔伝説サザンアイズ💿,調査中,調査中,8,-,,,,,,,,
1993-07-30,MD💿CD,💿540MB,-,ゲームアーツ,シルフィード💿,調査中,調査中,15,31,,,,,,,,
1993-07-30,MD💿CD,💿540MB,-,ヒューマン,バリ・アーム💿,調査中,調査中,0,-,,,,,,,,
1993-07-30,MD💿CD,💿540MB,-,日本テレネット,サイボーグ009💿,調査中,調査中,0,-,,,,牧由尚,"KEN THE 390",亀田真二郎,,
1993-08-06,MD💿CD,💿540MB,-,セガ,江川卓のスーパーリーグCD💿,調査中,調査中,0,-,,,,,,,,
1993-08-06,MD💿CD,💿540MB,-,ビクター,慶応遊撃隊💿,調査中,調査中,0,-,,,,,,,,
1993-08-27,MD💿CD,💿540MB,-,ビクター,雀豪ワールドカップ💿,調査中,調査中,0,-,,,,,,,,
1993-09-17,MD💿CD,💿540MB,-,コーエー,ウイニングポスト💿,調査中,調査中,0,-,,,,,山崎洋一|新井智詞,,シブサワ・コウ,
1993-09-17,MD💿CD,💿540MB,-,セガ,笑ゥせぇるすまん💿,調査中,調査中,0,-,,,,岡迫亘弘|鈴木藤雄,田中公平,藤子不二雄Ⓐ,,
1993-09-17,MD💿CD,💿540MB,-,ビクター,サンダーホーク💿,調査中,調査中,0,-,,,,,,,,
1993-09-23,MD💿CD,💿540MB,-,セガ,ソニック・ザ・ヘッジホッグCD💿,調査中,調査中,0,32,,大島直人,山本啓一|溝口松秀|松岡雄一|佐藤達也|矢北法孝,ちのひろあき|小野健一|横山雄一郎|見吉隆夫|西野陽|川口博之|星野一幸,日本・欧州版|尾形雅史|幡谷尚史|北米版|スペンサー・ニールセン|デヴィッド・ヤング|スターリング,,中山隼雄金成貫|押谷眞,
1993-09-23,MD💿CD,💿540MB,-,ビクター,モンキー・アイランドユーレイ海賊大騒動!💿,調査中,調査中,0,-,,,,,,,,
1993-09-24,MD💿CD,💿540MB,-,コーエー,蒼き狼と白き牝鹿元朝秘史💿,調査中,調査中,0,-,,,,,大島ミチル,,シブサワ・コウ,
1993-10-22,MD💿CD,💿540MB,-,シムス,ヴァイ流星の鎧💿,調査中,調査中,0,-,,,,,,,,
1993-10-29,MD💿CD,💿540MB,-,コナミ,リーサルエンフォーサーズ💿,調査中,調査中,0,-,,波多野よしあき,波多野よしあき,スティーヴ・ジョンソン,福井健一郎,,,
1993-11-12,MD💿CD,💿540MB,-,セガ,ダークウィザード蘇りし闇の魔導士💿,調査中,調査中,0,-,,,,,,,,
1993-11-19,MD💿CD,💿540MB,-,セガ,アルスラーン戦記💿,調査中,調査中,0,-,,,,神村幸子|小木曽伸吾(チーフ)|田澤湖|渡邊和夫,岩代太郎,田中芳樹|荒川弘,,
1993-11-19,MD💿CD,💿540MB,-,セガ,ナイトトラップ💿,調査中,調査中,9,33,,,,,,,,
1993-11-26,MD💿CD,💿540MB,-,サンドストーム,アルシャーク💿,調査中,調査中,0,-,,,田名網正,飯淳|佐藤淳|青柳久|木村明広,佐藤天平,飯淳,,
1993-11-26,MD💿CD,💿540MB,-,CSK総合研究所,マイト・アンド・マジック3💿,調査中,調査中,0,-,,,,,,,,
1993-11-26,MD💿CD,💿540MB,-,マイクロネット,ザ・サードワールドウォー💿,調査中,調査中,0,-,,M.カトー,M.カトー|堀川謙太郎|池田貴之|常田稔|SKELETON,をたぼう|奈良岡勇一郎|本間仁|小田桐孝一|のむやん,田中遊梦|PIRATA|KAPPA|ファンダンゴ,,村上晶彦,
1993-12-10,MD💿CD,💿540MB,-,セガ,夢見館の物語💿,調査中,調査中,7,32,,デヴィッド・プラスコン,,S.S.D.,野見祐二,,デヴィッド・S・ストーン,
1993-12-10,MD💿CD,💿540MB,-,データウエスト,サイキック・ディテクティブ・シリーズVol.4オルゴール💿,調査中,調査中,0,-,,,,,,,,
1993-12-28,MD💿CD,💿540MB,-,サミー,戦国伝承💿,調査中,調査中,0,-,,,,,山手安生|清水敏夫,,,
1994-01-28,MD💿CD,💿540MB,-,セガ,いしいひさいちの大政界💿,調査中,調査中,0,-,,石井達也,島軒惣兵工|石黒雄一,石井達也|赤桐裕二|いしいひさいち,高山博彦,大蔵圭一,大岡良樹|渡辺雅人,
1994-02-25,MD💿CD,💿540MB,-,シムス,真・女神転生💿,調査中,調査中,0,-,,岡田耕始,佐藤雅美|岡田耕始|國枝剛|高木秀俊,伊藤龍太郎|藤岡一樹|しまだよしあき|鈴木一也(遊企画)|佐藤佐和子|村上哲也|片岡いずみ|高島志郎|金子一馬,増子司,鈴木一也|伊藤龍太郎,新野洋右,
1994-02-25,MD💿CD,💿540MB,-,ビクター,マイクロコズム💿,調査中,調査中,0,-,,,,,,,,
1994-03-18,MD💿CD,💿540MB,-,セガ,ゲームのかんづめVOL.1💿,調査中,調査中,0,-,,,,,,,,
1994-03-18,MD💿CD,💿540MB,-,セガ,ゲームのかんづめVOL.2💿,調査中,調査中,0,-,,,,,,,,
1994-03-18,MD💿CD,💿540MB,-,日本物産,F1サーカスCD💿,調査中,調査中,0,-,,,,,,,,
1994-03-18,MD💿CD,💿540MB,-,ビクター,ハイムドール💿,調査中,調査中,0,-,,,,,,,,
1994-03-25,MD💿CD,💿540MB,-,コーエー,信長の野望覇王伝💿,調査中,調査中,0,-,,,,,菅野よう子,,シブサワ・コウ,
1994-03-25,MD💿CD,💿540MB,-,セガ,AX-101💿,調査中,調査中,0,-,,,,,,,,
1994-03-25,MD💿CD,💿540MB,-,セガ,ウイングコマンダー💿,調査中,調査中,0,-,,,,,,,,
1994-03-25,MD💿CD,💿540MB,-,ビクター,ダンジョン・マスター2スカルキープ💿,調査中,調査中,0,-,,,,,,,,
1994-04-01,MD💿CD,💿540MB,-,セガ,ぽっぷるメイル💿,調査中,調査中,0,-,,木屋善夫,永嶋純,今井浩之|塩田雄一|田中久仁彦,石川三恵子|白川篤史,,加藤正幸,
1994-04-15,MD💿CD,💿540MB,-,ゲームアーツ,うる星やつらディアマイフレンズ💿,調査中,調査中,0,-,,上坂哲,岡部博明|工藤直樹|金井秀樹|渡谷光浩|中村博史,中嶋敦子|押木賢,大熊謙一,上坂哲|須永有三|月島とほる,宮路洋一|菅沼孝夫,
1994-04-15,MD💿CD,💿540MB,-,マイクロネット,バトルファンタジー💿,調査中,調査中,0,-,,,,,,,,
1994-04-22,MD💿CD,💿540MB,-,ソニー,爆伝アンバランスゾーン💿,調査中,調査中,0,-,,,,,,,,
1994-04-22,MD💿CD,💿540MB,-,ポニーキャニオン,アイ・オブ・ザ・ビホルダー💿,調査中,調査中,0,-,,ブルット・W・スペリー(英語版),フィリップ・W・ゴロー,フィリップ・W・ゴロー|イーディ・ララモア|ポール・S・ムードラ|ジョセフ・ボスティック|リック・パークス|アーロン・E・パウエル|ジョセフ・B・ヒューイット4世,ポール・S・ムードラ,イーディ・ララモア,,
1994-04-23,MD💿CD,💿540MB,-,セガ,ヘブンリーシンフォニー💿,調査中,調査中,6,-,,,,,,,,
1994-05-13,MD💿CD,💿540MB,-,東映ビデオ,仮面ライダーZO💿,調査中,調査中,0,-,,,,,川村栄二,石ノ森章太郎,,
1994-05-20,MD💿CD,💿540MB,-,セガ,ロードス島戦記英雄戦争💿,調査中,調査中,7,-,,,,,,,,
1994-06-03,MD💿CD,💿540MB,-,アクレイムジャパン,モータルコンバット完全版💿,調査中,調査中,0,-,,,,,,,,
1994-06-03,MD💿CD,💿540MB,-,セガ,ドラゴンズレア💿,調査中,調査中,0,-,,,マイケル・クナウアー|ヴィンス・リー,リック・ダイアー|ビクター・ペンマン|マーティ・フォールガー|ダーリーン・ウォディントン|ドン・ブルース,クリストファー・ストーン,,,
1994-06-24,MD💿CD,💿540MB,-,アクレイムジャパン,WWFマニア・ツアー💿,調査中,調査中,0,-,,,,,,,,
1994-07-22,MD💿CD,💿540MB,-,セガ,シャイニング・フォースCD💿,調査中,調査中,13,-,,,,,,,,
1994-07-29,MD💿CD,💿540MB,-,ビクター,シャドー・オブ・ザ・ビースト2獣神の呪縛💿,調査中,調査中,0,-,,,,,,,,
1994-09-22,MD💿CD,💿540MB,-,ビクター,スター・ウォーズレベルアサルト💿,調査中,調査中,0,-,,,,,,,,
1994-09-30,MD💿CD,💿540MB,-,セガ,ジュラシック・パーク💿,調査中,調査中,0,31,,,,,,"『Jurassic Park Adventures: Survivor』(2001年) 『Jurassic Park Adventures: Prey』(2001年) 『Jurassic Park Adventures: Flyers』(2002)",,
1994-09-30,MD💿CD,💿540MB,-,テクモ,キャプテン翼💿,調査中,調査中,0,-,,,,,,高橋陽一,,
1994-09-30,MD💿CD,💿540MB,-,ビクター,バトルコープス💿,調査中,調査中,0,-,,,,,,,,
1994-10-28,MD💿CD,💿540MB,-,ナムコ,スターブレード💿,調査中,調査中,0,-,,中谷始,松浦則政|斉藤仁人|大森靖,柳川渉,細江慎治,,澤野和則|山田昌紀,
1994-11-11,MD💿CD,💿540MB,-,セガ,アフターハルマゲドン外伝魔獣闘将伝エクリプス💿,調査中,調査中,0,-,,,,,,,,
1994-11-25,MD💿CD,💿540MB,-,コナミ,リーサルエンフォーサーズ2ザ・ウエスタン💿,調査中,調査中,0,-,,波多野よしあき,波多野よしあき,スティーヴ・ジョンソン,福井健一郎,,,
1994-12-20,MD💿CD,💿540MB,-,アクレイムジャパン,NBAジャム💿,調査中,調査中,0,-,,,ショーン・リプタク,マーク・ターメル|トニー・ゴスキー|ジョン・カールトン|サル・ディヴィタ|ジェイミー・リベット,ジョナサン・ヘイ,,,
1994-12-22,MD💿CD,💿540MB,-,ゲームアーツ,ルナエターナルブルー💿,調査中,調査中,8,-,,小山洋幸,小山洋幸,安住政敏|前田真宏|拔山敏弘,岩垂徳行|溝口功,重馬敬,,
1994-12-22,MD💿CD,💿540MB,-,セガ,トムキャットアレイ💿,調査中,調査中,0,-,,,,,,,,
1994-12-22,MD💿CD,💿540MB,-,ビクター,ソウルスター💿,調査中,調査中,0,-,,,,,,,,
1995-02-24,MD💿CD,💿540MB,-,セガ,エコー・ザ・ドルフィンCD💿,調査中,調査中,0,-,,,,,,,,
1995-02-24,MD💿CD,💿540MB,-,ビクター,大封神伝💿,調査中,調査中,0,-,,,,,,,,
1995-03-24,MD💿CD,💿540MB,-,セガ,ダブルスイッチ💿,調査中,調査中,0,-,,,,,,,,
1995-03-24,MD💿CD,💿540MB,-,セガ,プライズファイター💿,調査中,調査中,0,-,,,,,,,,
1995-03-31,MD💿CD,💿540MB,-,ビクター,餓狼伝説スペシャル💿,調査中,調査中,0,-,,,,塚本高史,清水敏夫|山田泰正|北村芳彦,,川崎英吉,
1995-09-01,MD💿CD,💿540MB,-,セガ,ファーレンハイト💿,調査中,調査中,0,-,,,,,,,,
1995-12-22,MD💿CD,💿540MB,-,セガ,サージカルストライク💿,調査中,調査中,0,-,,,,,,,,
1996-02-23,MD💿CD,💿540MB,-,コンパイル,シャドウラン💿,調査中,調査中,0,-,,,,,,,,
1990-11-21,SFC,4M,ACT,任天堂,スーパーマリオワールド,"￥8,000","￥8,000代",355,34,,手塚卓志,中郷俊彦,日野重文,近藤浩治,,山内溥|宮本茂,
1990-11-21,SFC,4M,RAC,任天堂,F-ZERO,"￥7,000","￥7,000代",90,37,,清水一伸,西田泰也,清水一伸|今村孝矢,神吉由美子|石田尚人,,山内溥|宮本茂,
1990-12-01,SFC,4M,PUZ,ケムコ,ボンバザル,"￥6,500","￥6,500代",0,-,,,ロス・グッドレー,デヴィッド・ビショップ|アンソニー・クラウザー,ロス・グッドレー,,,
1990-12-16,SFC,8M,ACT,エニックス,アクトレイザー,"￥8,000","￥8,000代",40,-,,橋本昌哉,橋本昌哉|いまいゆき,古代彩乃|高井政彦|今井秋芳|横田幸次|七條たかし,古代祐三,宮崎友好,曽根康征,
1990-12-16,SFC,4M,SLG,イマジニア,ポピュラス,"￥8,800","￥9,000代",0,31,,,,,,,,
